# GeoNames cities15000 (https://www.geonames.org), CC BY 4.0. Generated by Tools/make_places.py
Shanghai		31.2222	121.4581	Shanghai	China	24874500	上海,上海市,中国上海,沪	Asia/Shanghai
Chongqing		29.5603	106.5577	Chongqing	China	22000000	重庆,重庆市,重慶,重慶市	Asia/Shanghai
Chengdu		30.6667	104.0667	Sichuan	China	20937757	天府,成都,成都市,청두 시	Asia/Shanghai
Beijing		39.9075	116.3972	Beijing	China	18960744	北京,北京市,베이징,북경	Asia/Shanghai
Guangzhou		23.1167	113.2500	Guangdong	China	18676605	广州,广州市,広州,広州市	Asia/Shanghai
Shenzhen		22.5455	114.0683	Guangdong	China	17494398	宝安,寶安,新安,深セン市	Asia/Shanghai
Kinshasa		-4.3276	15.3136	Kinshasa	Democratic Republic of the Congo	16000000	キンシャサ,金夏沙,金沙薩,雷堡城	Africa/Kinshasa
Istanbul		41.0138	28.9497	Istanbul	Turkey	15701602	イスタンブール,ビュザンティオン,伊斯坦堡,伊斯坦布尔	Europe/Istanbul
Lagos		6.4541	3.3947	Lagos	Nigeria	15388000	ラゴス,拉哥斯,라고스,라구스	Africa/Lagos
Ho Chi Minh City		10.8230	106.6296	Ho Chi Minh City (HCMC)	Vietnam	14002598	サイゴン,ホーチミン,ホーチミン市,胡志明市	Asia/Ho_Chi_Minh
Tianjin		39.1422	117.1767	Tianjin	China	13866009	天津,天津市,천진,톈진 시	Asia/Shanghai
Wuhan		30.5833	114.2667	Hubei	China	13739000	武汉,武汉市,武漢,武漢市	Asia/Shanghai
Lahore		31.5580	74.3507	Punjab	Pakistan	13004135	ラホール,ラーホール,拉合尔,拉合爾	Asia/Karachi
Xi’an	Xi'an	34.2583	108.9286	Shaanxi	China	12952907	西安,西安市,시안 시	Asia/Shanghai
Mumbai		19.0728	72.8826	Maharashtra	India	12691836	ムンバイ,孟买,孟買,뭄바이	Asia/Kolkata
São Paulo	Sao Paulo	-23.5475	-46.6361	São Paulo	Brazil	12400232	サンパウロ,圣保罗,聖保羅,상파올로	America/Sao_Paulo
Mexico City		19.4285	-99.1277	Mexico City	Mexico	12294193	メキシコシティ,墨西哥城,멕시코 시,멕시코시티	America/Mexico_City
Hangzhou		30.2936	120.1614	Zhejiang	China	11936010	杭州,杭州市,항저우,항저우 시	Asia/Shanghai
Karachi		24.8608	67.0104	Sindh	Pakistan	11624219	カラチ,カラーチー,卡拉奇,喀拉蚩	Asia/Karachi
Delhi		28.6519	77.2315	Delhi	India	11034555	デリー,德里,델리	Asia/Kolkata
Moscow		55.7520	37.6178	Moscow	Russia	10381222	モスクワ,莫斯科,모스크바	Europe/Moscow
Dhaka		23.7104	90.4074	Dhaka Division	Bangladesh	10356500	ダッカ,达卡,達卡,다카	Asia/Dhaka
Seoul		37.5660	126.9784	Seoul	South Korea	10349312	ソウル,ソウル特別市,首尔,首尔特别市	Asia/Seoul
Harbin		45.7500	126.6500	Heilongjiang	China	10009854	ハルビン,ハルビン市,哈尔滨,哈尔滨市	Asia/Shanghai
Tokyo		35.6895	139.6917	Tokyo	Japan	9733276	东京,東京,東京都,도쿄	Asia/Tokyo
Dongguan		23.0180	113.7487	Guangdong	China	9644871	东莞,东莞市,東莞,東莞市	Asia/Shanghai
Cairo		30.0626	31.2497	Cairo	Egypt	9606916	カイロ,开罗,開羅,카이로	Africa/Cairo
Hefei		31.8639	117.2808	Anhui	China	9465881	合肥,合肥市,허페이 시	Asia/Shanghai
Johannesburg		-26.2023	28.0436	Gauteng	South Africa	9418183	ヨハネスブルグ,約翰尼斯堡,约翰内斯堡,요하네스버그	Africa/Johannesburg
Weifang		36.7100	119.1019	Shandong	China	9386705	イ坊市,潍坊,潍坊市,濰坊	Asia/Shanghai
Nanjing		32.0617	118.7778	Jiangsu	China	9314685	南京,南京市,난징,난징 시	Asia/Shanghai
Shenyang		41.7922	123.4328	Liaoning	China	9070093	沈阳,沈阳市,瀋陽,瀋陽市	Asia/Shanghai
Foshan		23.0268	113.1315	Guangdong	China	9042509	仏山市,佛山,佛山市,포산 시	Asia/Shanghai
London		51.5085	-0.1257	England	United Kingdom	8961989	ロンドン,伦敦,倫敦,런던	Europe/London
New York City		40.7143	-74.0060	New York	United States	8804190	ニューヨーク,マンハッタン,紐約,紐約市	America/New_York
Jakarta		-6.2146	106.8451	Jakarta	Indonesia	8540121	ジャカルタ,バタヴィア,勿礁維,勿礁维	Asia/Jakarta
Bengaluru		12.9719	77.5937	Karnataka	India	8495492	バンガロール,班加罗尔,班加羅爾,방갈로르	Asia/Kolkata
Jinan		36.6683	116.9972	Shandong	China	8352574	济南,济南市,済南,済南市	Asia/Shanghai
Hanoi		21.0245	105.8412	Hanoi	Vietnam	8053663	ハノイ,河內,河內市,하노이	Asia/Bangkok
Taipei		25.0531	121.5264	Taiwan	Taiwan	7871900	台北,台北市,臺北市,타이베이	Asia/Taipei
Lima		-12.0432	-77.0282	Lima Province	Peru	7737002	リマ,利馬,리마	America/Lima
Bogotá	Bogota	4.6097	-74.0817	Bogota D.C.	Colombia	7674366	ボゴタ,波哥大,보고타	America/Bogota
Dalian		38.9122	121.6022	Liaoning	China	7450785	大连,大连市,大連,大連市	Asia/Shanghai
Hong Kong		22.2783	114.1747		Hong Kong	7396076	香港,홍콩	Asia/Hong_Kong
Baghdad		33.3406	44.4009	Baghdad	Iraq	7216000	バグダード,巴格达,巴格達,바그다드	Asia/Baghdad
Wuzhong		37.9867	106.2010	Ningxia	China	7202654	吴忠,吴忠市,吴忠镇	Asia/Shanghai
Qingdao		36.0649	120.3804	Shandong	China	7172451	青岛,青岛市,青島,青島市	Asia/Shanghai
Tehran		35.6944	51.4215	Tehran	Iran	7153309	テヘラン,德黑兰,德黑蘭,테헤란	Asia/Tehran
Yantai		37.4765	121.4408	Shandong	China	7102100	烟台,烟台市,煙台市,煙臺	Asia/Shanghai
Hyderabad		17.3840	78.4564	Telangana	India	6993262	ハイデラバード,海得拉巴	Asia/Kolkata
Rio de Janeiro		-22.9064	-43.1822	Rio de Janeiro	Brazil	6747815	リオデジャネイロ,里約熱內盧,里约热内卢,리우데자네이루	America/Sao_Paulo
Suzhou		31.3041	120.5954	Jiangsu	China	6715559	苏州,苏州市,蘇州,蘇州市	Asia/Shanghai
Puxi		31.2441	121.4659	Shanghai	China	6683712	浦西	Asia/Shanghai
Zhengzhou		34.7578	113.6486	Henan	China	6650532	郑州,郑州市,鄭州,鄭州市	Asia/Shanghai
Ahmedabad		23.0258	72.5873	Gujarat	India	6357693	アフマダーバード,亞美達巴德,艾哈迈德堡,艾哈迈达巴德	Asia/Kolkata
Abidjan		5.3544	-4.0017	Abidjan Autonomous District	Ivory Coast	6321017	アビジャン,阿必仁,阿比让,아비장	Africa/Abidjan
Nanning		22.8167	108.3167	Guangxi	China	5977185	南宁,南宁市,南寧,南寧市	Asia/Shanghai
Kunming		25.0389	102.7183	Yunnan	China	5950578	昆明,昆明市,쿤밍 시	Asia/Shanghai
Shijiazhuang		38.0414	114.4786	Hebei	China	5758403	石家庄,石家庄市,石家荘,石家荘市	Asia/Shanghai
